NMS Number Block: Number Block,Block Status,CP Name,Geographic Number Length,Allocation Date,Notes
1190,Protected,,4+6,,
1191,Protected,,4+6,,
1192,Protected,,4+6,,
1193,Protected,,4+6,,
1194,Protected,,4+6,,
1195,Protected,,4+6,,
1196,Protected,,4+6,,
1197,Protected,,4+6,,
1198,Protected,,4+6,,
1199,Protected,,4+6,,
1201,Protected,,4+6,,
1203,Protected,,4+6,,
1220,Protected,,4+6,,
1221,Protected,,4+6,,
1222,Protected,,4+6,,
1230,Protected,,4+6,,
1231,Protected,,4+6,,
1232,Protected,,4+6,,
1238,Protected,,4+6,,
1240,Protected,,4+6,,
1247,Protected,,4+6,,
1251,Protected,,4+6,,
1265,Protected,,4+6,,
1266,Protected,,4+6,,
1272,Protected,,4+6,,
1281,Protected,,4+6,,
1319,Protected,,4+6,,
1321,Protected,,4+6,,
1331,Protected,,4+6,,
1336,Protected,,4+6,,
1338,Protected,,4+6,,
1345,Protected,,4+6,,
1351,Protected,,4+6,,
1365,Protected,,4+6,,
1370,Protected,,4+6,,
1374,Protected,,4+6,,
1378,Protected,,4+6,,
1385,Protected,,4+6,,
1390,Protected,,4+6,,
1391,Protected,,4+6,,
1393,Protected,,4+6,,
1396,Protected,,4+6,,
1399,Protected,,4+6,,
1401,Protected,,4+6,,
1402,Protected,,4+6,,
1421,Protected,,4+6,,
1426,Protected,,4+6,,
1441,Protected,,4+6,,
1447,Protected,,4+6,,
1448,Protected,,4+6,,
1459,Protected,,4+6,,
1468,Protected,,4+6,,
1486,Protected,,4+6,,
1498,Protected,,4+6,,
1500,Protected,,4+6,,
1504,Protected,,4+6,,
1521,Protected,,4+6,,
1523,Protected,,4+6,,
1532,Protected,,4+6,,
1533,Protected,,4+6,,
1537,Protected,,4+6,,
1541,Protected,,4+6,,
1551,Protected,,4+6,,
1552,Protected,,4+6,,
1574,Protected,,4+6,,
1585,Protected,,4+6,,
1587,Protected,,4+6,,
1589,Protected,,4+6,,
1596,Protected,,4+6,,
1601,Protected,,4+6,,
1602,Protected,,4+6,,
1605,Protected,,4+6,,
1607,Protected,,4+6,,
1627,Protected,,4+6,,
1632,Protected,,4+6,,
1640,Protected,,4+6,,
1645,Protected,,4+6,,
1648,Protected,,4+6,,
1649,Protected,,4+6,,
1657,Protected,,4+6,,
1658,Protected,,4+6,,
1660,Protected,,4+6,,
1662,Protected,,4+6,,
1679,Protected,,4+6,,
1682,Protected,,4+6,,
1693,Protected,,4+6,,
1696,Protected,,4+6,,
1699,Protected,,4+6,,
1701,Protected,,4+6,,
1703,Protected,,4+6,,
1705,Protected,,4+6,,
1710,Protected,,4+6,,
1711,Protected,,4+6,,
1712,Protected,,4+6,,
1713,Protected,,4+6,,
1714,Protected,,4+6,,
1715,Protected,,4+6,,
1716,Protected,,4+6,,
1717,Protected,,4+6,,
1718,Protected,,4+6,,
1719,Protected,,4+6,,
1731,Protected,,4+6,,
1734,Protected,,4+6,,
1735,Protected,,4+6,,
1739,Protected,,4+6,,
1741,Protected,,4+6,,
1742,Protected,,4+6,,
1755,Protected,,4+6,,
1762,Protected,,4+6,,
1774,Protected,,4+6,,
1781,Protected,,4+6,,
1783,Protected,,4+6,,
1791,Protected,,4+6,,
1800,Protected,,4+6,,
1801,Protected,,4+6,,
1802,Protected,,4+6,,
1804,Protected,,4+6,,
1810,Protected,,4+6,,
1811,Protected,,4+6,,
1812,Protected,,4+6,,
1813,Protected,,4+6,,
1814,Protected,,4+6,,
1815,Protected,,4+6,,
1816,Protected,,4+6,,
