NMS Number Block: Number Block,Block Status,CP Name,Non Geo Number Length,Allocation Date,Notes
3000 00,Allocated,TelNG Limited,10 digit numbers,26/03/2007,
3000 01,Allocated,Hello Telecom (UK) Limited,10 digit numbers,24/04/2009,
3000 02,Allocated,DRD Communications Limited,10 digit numbers,23/07/2009,
3000 03,Allocated,Daisy Communications Ltd,10 digit numbers,13/12/2010,
3000 04,Allocated,TalkTalk Communications Limited,10 digit numbers,15/10/2009,
3000 05,Allocated,Continuity Assured Limited,10 digit numbers,07/01/2010,
3000 06,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,01/08/2019,
3000 07,Protected,,10 digit numbers,,
3000 08,Allocated,Numbers Plus Ltd,10 digit numbers,20/07/2011,
3000 09,Allocated,Phone Co-Op Numbering Limited,10 digit numbers,09/02/2012,
3000 10,Allocated,Vodafone Ltd (C&W),10 digit numbers,16/09/2013,
3000 11,Allocated,Number Solutions Ltd,10 digit numbers,26/03/2007,
3000 12,Allocated,Windsor Telecom Limited,10 digit numbers,13/06/2011,
3000 13,Allocated,BT,10 digit numbers,24/01/2012,
3000 14,Allocated,Liquid 11 Limited,10 digit numbers,05/07/2011,
3000 15,Allocated,Simwood eSMS Limited,10 digit numbers,15/06/2015,
3000 16,Allocated,I.T Communications Limited,10 digit numbers,25/04/2017,
3000 17,Protected,,10 digit numbers,,
3000 18,Allocated,Odigo,10 digit numbers,23/03/2020,
3000 19,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,16/03/2020,
3000 20,Allocated,Vodafone Ltd (C&W),10 digit numbers,16/09/2013,
3000 21,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,26/10/2020,
3000 22,Allocated,Tuxtel Ltd,10 digit numbers,20/09/2010,
3000 23,Allocated,TalkTalk Communications Limited,10 digit numbers,12/05/2009,
3000 24,Allocated,Vodafone Ltd (C&W),10 digit numbers,16/09/2013,
3000 25,Allocated,Colt Technology Services,10 digit numbers,03/02/2022,
3000 26,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,03/02/2017,
3000 27,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,25/11/2020,
3000 28,Allocated,Wavenet UK Ltd,10 digit numbers,07/12/2010,
3000 29,Allocated,Virgin Media Limited,10 digit numbers,04/10/2007,
3000 30,Allocated,TTNC Limited,10 digit numbers,01/10/2013,
3000 31,Allocated,Square Systems Limited,10 digit numbers,06/11/2008,
3000 32,Allocated,Tabsoft Limited,10 digit numbers,12/03/2014,
3000 33,Allocated,Babble Cloud (SUI) Limited,10 digit numbers,26/03/2007,
3000 34,Allocated,TelXL Limited,10 digit numbers,01/04/2011,
3000 35,Protected,,10 digit numbers,,
3000 36,Protected,,10 digit numbers,,
3000 37,Allocated,FUSION TELECOM LTD,10 digit numbers,14/05/2020,
3000 38,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,21/10/2021,
3000 39,Protected,,10 digit numbers,,
3000 40,Allocated,Andrews & Arnold Ltd,10 digit numbers,06/07/2007,
3000 41,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,18/06/2021,
3000 42,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,18/06/2021,
3000 43,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,21/10/2021,
3000 44,Allocated,Tuxtel Ltd,10 digit numbers,20/09/2010,
3000 45,Allocated,Six Degrees Technology Group Limited,10 digit numbers,08/04/2020,
3000 46,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,21/10/2021,
3000 47,Allocated,Vodafone Ltd (C&W),10 digit numbers,30/06/2020,
3000 48,Allocated,Vodafone Ltd (C&W),10 digit numbers,30/06/2020,
3000 49,Allocated,Vodafone Ltd (C&W),10 digit numbers,30/06/2020,
3000 50,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,22/10/2021,
3000 51,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,17/12/2015,
3000 52,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,17/12/2015,
3000 53,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,17/12/2015,
3000 54,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,17/12/2015,
3000 55,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,17/12/2015,
