NMS Number Block: Number Block,Block Status,CP Name,Non Geo Number Length,Allocation Date
7000 0,Allocated,Vodafone Limited,10 digit numbers,06/11/1995
7000 1,Allocated,Vodafone Limited,10 digit numbers,06/11/1995
7000 2,Allocated,Vodafone Limited,10 digit numbers,06/11/1995
7000 3,Allocated,Vodafone Limited,10 digit numbers,06/11/1995
7000 4,Allocated,Vodafone Limited,10 digit numbers,06/11/1995
7000 5,Allocated,Vodafone Limited,10 digit numbers,06/11/1995
7000 6,Allocated,Vodafone Limited,10 digit numbers,06/11/1995
7000 7,Allocated,Vodafone Limited,10 digit numbers,06/11/1995
7000 8,Allocated,Vodafone Limited,10 digit numbers,06/11/1995
7000 9,Allocated,Vodafone Limited,10 digit numbers,06/11/1995
7001 00,Protected,,10 digit numbers,
7001 01,Protected,,10 digit numbers,
7001 02,Protected,,10 digit numbers,
7001 03,Protected,,10 digit numbers,
7001 04,Protected,,10 digit numbers,
7001 05,Protected,,10 digit numbers,
7001 06,Protected,,10 digit numbers,
7001 07,Protected,,10 digit numbers,
7001 08,Protected,,10 digit numbers,
7001 09,Protected,,10 digit numbers,
7001 10,Protected,,10 digit numbers,
7001 11,Protected,,10 digit numbers,
7001 12,Protected,,10 digit numbers,
7001 13,Protected,,10 digit numbers,
7001 14,Protected,,10 digit numbers,
7001 15,Protected,,10 digit numbers,
7001 16,Protected,,10 digit numbers,
7001 17,Protected,,10 digit numbers,
7001 18,Protected,,10 digit numbers,
7001 19,Protected,,10 digit numbers,
7001 20,Protected,,10 digit numbers,
7001 21,Protected,,10 digit numbers,
7001 22,Protected,,10 digit numbers,
7001 23,Protected,,10 digit numbers,
7001 24,Protected,,10 digit numbers,
7001 25,Protected,,10 digit numbers,
7001 26,Protected,,10 digit numbers,
7001 27,Protected,,10 digit numbers,
7001 28,Protected,,10 digit numbers,
7001 29,Protected,,10 digit numbers,
7001 30,Protected,,10 digit numbers,
7001 31,Protected,,10 digit numbers,
7001 32,Protected,,10 digit numbers,
7001 33,Protected,,10 digit numbers,
7001 34,Protected,,10 digit numbers,
7001 35,Protected,,10 digit numbers,
7001 36,Protected,,10 digit numbers,
7001 37,Protected,,10 digit numbers,
7001 38,Protected,,10 digit numbers,
7001 39,Protected,,10 digit numbers,
7001 40,Protected,,10 digit numbers,
7001 41,Protected,,10 digit numbers,
7001 42,Protected,,10 digit numbers,
7001 43,Protected,,10 digit numbers,
7001 44,Protected,,10 digit numbers,
7001 45,Protected,,10 digit numbers,
7001 46,Protected,,10 digit numbers,
7001 47,Protected,,10 digit numbers,
7001 48,Protected,,10 digit numbers,
7001 49,Protected,,10 digit numbers,
7001 50,Protected,,10 digit numbers,
7001 51,Protected,,10 digit numbers,
7001 52,Protected,,10 digit numbers,
7001 53,Protected,,10 digit numbers,
7001 54,Protected,,10 digit numbers,
7001 55,Protected,,10 digit numbers,
7001 56,Protected,,10 digit numbers,
7001 57,Protected,,10 digit numbers,
7001 58,Protected,,10 digit numbers,
7001 59,Protected,,10 digit numbers,
7001 60,Protected,,10 digit numbers,
7001 61,Protected,,10 digit numbers,
7001 62,Protected,,10 digit numbers,
7001 63,Protected,,10 digit numbers,
7001 64,Protected,,10 digit numbers,
7001 65,Protected,,10 digit numbers,
7001 66,Protected,,10 digit numbers,
7001 67,Protected,,10 digit numbers,
7001 68,Protected,,10 digit numbers,
7001 69,Protected,,10 digit numbers,
7001 70,Protected,,10 digit numbers,
7001 71,Protected,,10 digit numbers,
7001 72,Protected,,10 digit numbers,
7001 73,Protected,,10 digit numbers,
7001 74,Protected,,10 digit numbers,
7001 75,Protected,,10 digit numbers,
7001 76,Protected,,10 digit numbers,
7001 77,Protected,,10 digit numbers,
7001 78,Protected,,10 digit numbers,
7001 79,Protected,,10 digit numbers,
7001 80,Protected,,10 digit numbers,
7001 81,Protected,,10 digit numbers,
7001 82,Protected,,10 digit numbers,
7001 83,Protected,,10 digit numbers,
7001 84,Protected,,10 digit numbers,
7001 85,Protected,,10 digit numbers,
7001 86,Protected,,10 digit numbers,
7001 87,Protected,,10 digit numbers,
7001 88,Protected,,10 digit numbers,
7001 89,Protected,,10 digit numbers,
7001 90,Protected,,10 digit numbers,
7001 91,Protected,,10 digit numbers,
7001 92,Protected,,10 digit numbers,
7001 93,Protected,,10 digit numbers,
7001 94,Protected,,10 digit numbers,
7001 95,Protected,,10 digit numbers,
7001 96,Protected,,10 digit numbers,
7001 97,Protected,,10 digit numbers,
7001 98,Protected,,10 digit numbers,
7001 99,Protected,,10 digit numbers,
7002 0,Allocated,Vodafone Limited,10 digit numbers,26/03/1996
7002 1,Allocated,Vodafone Limited,10 digit numbers,26/03/1996
7002 2,Allocated,Vodafone Limited,10 digit numbers,26/03/1996
7002 3,Allocated,Vodafone Limited,10 digit numbers,26/03/1996
7002 4,Allocated,Vodafone Limited,10 digit numbers,26/03/1996
7002 5,Allocated,Vodafone Limited,10 digit numbers,26/03/1996
7002 6,Allocated,Vodafone Limited,10 digit numbers,26/03/1996
7002 7,Allocated,Vodafone Limited,10 digit numbers,26/03/1996
7002 8,Allocated,Vodafone Limited,10 digit numbers,26/03/1996
7002 9,Allocated,Vodafone Limited,10 digit numbers,26/03/1996
7003 0,Quarantined,,10 digit numbers,
7003 1,Protected,,10 digit numbers,
7003 2,Protected,,10 digit numbers,
7003 3,Protected,,10 digit numbers,
7003 4,Allocated,Nexus Telecommunications Limited,10 digit numbers,23/11/2000
7003 5,Allocated,4D Interactive Ltd,10 digit numbers,03/06/1998
7003 6,Allocated,4D Interactive Ltd,10 digit numbers,03/06/1998
